complaint,department
"Sir, garbage truck leaking dirty black liquid on entire road smelling awful close to crematorium ground. Nobody is responding.",Sanitation
"Sir, divider is broken cars taking dangerous u-turn causing accidents behind Co-operative Bank. Nobody is responding.",Traffic
"Along temple street, public library roof is leaking rainwater books getting ruined please repair. Kindly resolve.",Municipal Services
unhygenic foud stall causng stumach infaction ward 145 since 2 days kindly fix,Public Health
urgent drange is chokd sewag watr floding rad Siddhartha Nagar near central vegetable market,Drainage
"Sir, someone burning plastic garbage in night time suffocating smoke at Highway Junction. Nobody is responding.",Sanitation
"Transformer enclosure fence broken allowing stray cattle near high voltage on 6th Cross Avenue, serious public safety violation.",Electricity
"In Vidya Nagar Ward 17, stray dogs are biting people on street please catch them urgently since morning. Very difficult situation.",Public Health
Drain silt was cleaned and left on road now all gone back in drain opposite APMC market yard since past 10 days.,Drainage
"On station approach road, ward 172, street light is not working in our lane full dark at night. Kindly resolve.",Electricity
"Storm felled a big tree across lane please send municipal chainsaw team at Highway Junction, please take action immediately.",Municipal Services
"Sir, speed breaker warning sign missing drivers jumping speed breaker at high speed right in front of Civil Court. Nobody is responding.",Traffic
Outdoor open gym equipment in public park completely rusted and jammed between Defence Enclave and Patel Chowk.,Municipal Services
"Right in front of district veterinary hospital, someone burning plastic garbage in night time suffocating smoke. Kindly resolve.",Sanitation
"Please help, slippery oil and gravel mix spread across asphalt surface opposite community hall, frequent skidding accidents reported. Please send team as soon as possible.",Roads
"Hello civic team, concrete median road divider broken and knocked down by collision outside Ration Shop, vehicles making dangerous unauthorized U-turns across oncoming lane. Please send team as soon as possible.",Traffic
"Due to substandard patch work washed away leaving larger holes near Balaji Layout main gate, it is road condition worse than before repair.",Roads
Auto drivers refusing to come because of pathetic road condition behind Fish Market Yard since morning.,Roads
"Sir, garbage is not being lifted since one week huge smell coming at Indira Circle. Nobody is responding.",Sanitation
"Garbage sweepers burning piles of dry leaves and plastic trash in public park near Indira Gandhi Colony main gate, toxic thick smoke suffocating morning walkers and asthma patients.",Sanitation
"In Vivekananda Colony Ward 86, road is fully damaged and full of big potholes for past one week. Very difficult situation.",Roads
"Due to underground sewer pipeline choked with tree roots and grease accumulation near Rajaji Sector 3 main gate, it is toilets on ground floor residences backing up and gurgling.",Drainage
Attention Municipal Commissioner: damaged flexible traffic bollards uprooted and lying scattered across junction near junction roundabout! It is vehicles driving over median kerb. Immediate action requested.,Traffic
"Opposite district library, worst road condition not even able to walk properly. Kindly resolve.",Roads
"Sir, open drain in front of our gate school children can fall inside on Link Road. Nobody is responding.",Drainage
"In Vikas Enclave Ward 147, anti-larval spray not done in our ward malaria spreading fast from last 3 days. Very difficult situation.",Public Health
Public library roof is leaking rainwater books getting ruined please repair at Ambedkar Chowk after last rain.,Municipal Services
"At the entry of teachers colony, street light burning in afternoon time and turning off at 7 PM night. Kindly resolve.",Electricity
"Broken streetlight glass luminaire hanging precariously by thin wire in Pragati Colony, heavy fixture ready to drop on passing traffic.",Electricity
No zebra crossing for pedestrians impossible to cross this wide road since two weeks close to central vegetable market. High danger.,Traffic
Very serious hazard: dead stray cat decaying under roadside culvert on Link Road! It is overwhelming stench penetrating ground floor residences. Immediate action requested.,Sanitation
"Due to slippery oil and gravel mix spread across asphalt surface near weekly bazaar ground, it is frequent skidding accidents reported.",Roads
"Municipal water supply valve broken and jammed in closed position at Patel Chowk, entire lane deprived of scheduled water supply.",Water
"No action taken so far, footpath pavers broken, dislodged and jutting out on Main Road, Ward 108, pedestrians and senior citizens tripping constantly. Please send team as soon as possible.",Roads
"Sir, dustbin is totally overflowing dogs spreading trash everywhere on Link Road, Ward 116. Nobody is responding.",Sanitation
Transformer giving big blast sound and sparks falling down after last rain at the entry of Defence Enclave. High danger.,Electricity
Attention Municipal Commissioner: neutral wire disconnection causing dangerous 400V surge in homes near Kuvempu Nagar main gate! It is appliances burning and smoke billowing from wall sockets. Immediate action requested.,Electricity
illegl parkng blockng entir stret buses stck ward 52 since 2 days kindly fix,Traffic
"Sir, water supply timing is very irregular please give water on fixed schedule in Kasturba Extension. Nobody is responding.",Water
"Due to unannounced power blackout lasting over 14 hours in extreme summer heat on NH Bypass Service Road, it is senior citizens and infants facing severe distress.",Electricity
Extremely hazardous condition: transformer oil leaking heavily onto the public pavement at Old Post Office Junction! It is transformer overheating and producing burning smell. Immediate action requested.,Electricity
Disaster waiting to happen: overhead jumper wire disconnected on utility pole causing partial blackout near industrial estate gate! It is half the residential colony in darkness. Immediate action requested.,Electricity
"In Surya Nagar Ward 12 Ward 157, manhole cover is missing open hole on road very dangerous in night every evening. Very difficult situation.",Drainage
unhygenic foud stall causng stumach infaction ward 12 since 2 days kindly fix,Public Health
Road is fully damaged and full of big potholes for past one week in Vivekananda Colony. High danger.,Roads
"Sir, divider is broken cars taking dangerous u-turn causing accidents at Ward 134. Nobody is responding.",Traffic
"Due to overgrown wild thorny bushes and weeds on municipal civic plot opposite bazaar circle, it is harboring venomous snakes and breeding stray rodents.",Municipal Services
"Urgent vector fogging and anti-larval chemical spraying needed in colony near toll plaza, dengue fever spreading from house to house.",Public Health
"In Netaji Nagar Ward 146, public park gate is broken drunkards entering at night and breaking benches every evening. Very difficult situation.",Municipal Services
stagnnt wter breedng mosquitos chkungunya risk near service road turn Ring Road,Public Health
Plz repair this road immediately bike riders falling daily near district library since yesterday.,Roads
Civic issue reported: there is a damaged crash barrier on highway flyover curve opposite railway station approach. This is leaving dangerous open edge overlooking 30-foot drop to road below. Kindly take remedial action.,Traffic
Extremely hazardous condition: broken concrete speed breaker with exposed sharp iron rods at the entry of Adarsh Layout! It is puncturing tires and injuring cyclists. Immediate action requested.,Roads
Traffic signal is not working big traffic jam at junction from last 3 days right in front of Fire Brigade Station. High danger.,Traffic
"Sir, hotel throwing rotten food and chicken waste attracting flies and rats on 6th Cross Avenue. Nobody is responding.",Public Health
Garbage burning on the empty plot causing severe respiratory issues for residents,Sanitation
Disaster waiting to happen: open storm gutter without covering slab running in front of primary school in Ramakrishna Puram! It is students at constant risk of slipping into deep muddy drain. Immediate action requested.,Drainage
"Sir, fish market waste thrown on road intolerable rotten stench on Link Road, Ward 77. Nobody is responding.",Sanitation
"In Rajaji Sector 3 Ward 32, stray dogs are biting people on street please catch them urgently since yesterday. Very difficult situation.",Public Health
"Water supply timing is very irregular please give water on fixed schedule in Kasturba Extension, please take action immediately.",Water
"In Kuvempu Nagar Ward 185, traffic police needed at circle during school hours heavy jam after last rain. Very difficult situation.",Traffic
"Due to drinking water pipeline burst with high-pressure fountain in Siddhartha Nagar, it is millions of liters of clean water being wasted.",Water
Divider is broken cars taking dangerous u-turn causing accidents every evening between Rajaji Sector 3 and Ambedkar Chowk. High danger.,Traffic
guter overflowin ful stenk in residental aera ward 93 since 2 days kindly fix,Drainage
Auto drivers refusing to come because of pathetic road condition from last 3 days in Pragati Colony. High danger.,Roads
"In Vinayaka Nagar Ward 75, pothole depth is more than 1 foot any time major accident can happen after last rain. Very difficult situation.",Roads
urgent huge pot hole on roadd please repaire urgently Shastri Nagar near church square,Roads
urgent garbag not colected since many days big sml Vikas Enclave near APMC market yard,Sanitation
plz help unhygenic foud stall causng stumach infaction on Hospital Road,Public Health
"Dustbin is totally overflowing dogs spreading trash everywhere on Service Lane, Ward 180, please take action immediately.",Sanitation
"Sir, autos and taxis blocking the entire left turn free lane on Market Road, Ward 45. Nobody is responding.",Traffic
No dustbins installed in the newly developed commercial market street,Sanitation
"Due to tree branches heavily tangled with bare 11kV electrical conductors along Church Road, it is frequent sparks and localized power tripping during breeze.",Electricity
"Sir please look into this, massive accumulation of single-use plastic cups and plates after festival on Main Road, no sanitation crew deployed for cleanup post-event. Please send team as soon as possible.",Sanitation
wter presure to low tps runing dry pleas help near bus terminus Station Road,Water
Urgent attention required: there is a municipal drinking water overhead tank overflowing for hours unattended in Indira Gandhi Colony. This is float valve failure wasting potable water reservoir. Kindly take remedial action.,Water
Illegal chemical bone crushing unit emitting sickening odor throughout night in Netaji Nagar.,Public Health
Segregated dry and wet waste being mixed together into the truck by loaders,Sanitation
"Sir, road sign is hidden behind tree branches motorists missing the turn opposite bus stop. Nobody is responding.",Traffic
plasic west burnig smuk entring insid house near government high school 80 Feet Road,Sanitation
garbag not colected since many days big sml ward 62 since 2 days kindly fix,Sanitation
Voltage is very low fan is not running fridge making weird sound at the entry of Surya Nagar Ward 12 after last rain.,Electricity
Auto drivers refusing to come because of pathetic road condition in Santosh Nagar after last rain.,Roads
"Deep trench excavated for laying cables left unpaved on Ring Road, Ward 192.",Roads
"At the entry of balaji layout, electric pole is bent dangerously can fall any time please remove. Kindly resolve.",Electricity
crematrium furnas out of ordr pleas fix imedatly near church square Service Lane,Municipal Services
"Street light burning in afternoon time and turning off at 7 pm night on College Road, please take action immediately.",Electricity
"Big dry tree branch can fall on our house roof please cut it urgently in Rajaji Sector 3, please take action immediately.",Municipal Services
Power cut since morning no current in our whole colony at Ward 36 since two weeks.,Electricity
"Sir, gutters are fully blocked with mud road is flooded with knee deep water right in front of ESI Hospital. Nobody is responding.",Drainage
Public toilet is filthy and overflowing nobody cleaning it since weeks since two weeks at Ward 195. High danger.,Public Health
"Behind sub-registrar office, too many mosquitoes in our area dengue cases increasing please fog. Kindly resolve.",Public Health
"In postal layout, road sign is hidden behind tree branches motorists missing the turn. Kindly resolve.",Traffic
Electric wire is hanging very low anyone can get current shock along Service Lane after last rain.,Electricity
childrn playgroud swing brokn shrap iron cuting kids in Kasturba Extension ward 160,Municipal Services
Crematorium furnace not working people waiting with dead body in grief since yesterday behind Civil Court. High danger.,Municipal Services
"Sir please look into this, sanitation collection vehicle demanding cash bribes to lift segregated waste near rotary circle, refusing collection if unpaid. Please send team as soon as possible.",Sanitation
Water tanker driver demanding extra money and not giving full water at Ward 36 every evening.,Water
urgent dividr cut made illeagli bikes crosing dngrously Ashok Vihar Phase 2 near bus stop,Traffic
"No action taken so far, open garbage dump attracting thousands of bluebottle flies entering kitchens at Clock Tower Square, cholera and dysentery risk in slum settlement. Please send team as soon as possible.",Public Health
"Sir, traffic signal is not working big traffic jam at junction at the entry of Teachers Colony. Nobody is responding.",Traffic
Critical danger: unhygienic road-side eatery washing plates in dirty drain water on Ring Road! It is food poisoning outbreak reported among local college students. Immediate action requested.,Public Health
"Dead cow lying near the highway bridge approach unattended behind State Transport Depot, maggots infesting carcass and causing public disgust.",Sanitation
pipelin brok clean watr wasting on road fix fast in Shastri Nagar ward 198,Water
"Unauthorized gap cut into road median divider by local shopkeepers opposite overhead water tank, motorcycles cutting across oncoming 60 km/h traffic.",Traffic
Extremely hazardous condition: raw sewage overflowing from choked underground sewer manhole near Vinayaka Nagar main gate! It is black contaminated fecal water bubbling onto public road. Immediate action requested.,Drainage
Electric wire is hanging very low anyone can get current shock at Ward 150 since yesterday.,Electricity
"Due to uncovered stormwater drain running parallel to market footpath along Inner Circular Road, it is shoppers accidentally dropping belongings and slipping in sewage.",Drainage
"Opposite mosque corner, drain is overflowing sewage water coming into our house compound. Kindly resolve.",Drainage
It is brought to municipal notice that there is a streetlight timer broken causing lights to stay ON in afternoon and OFF at night close to civil hospital gate. This is energy wasted by day while road is dark at night. Kindly take remedial action.,Electricity
"Due to temporary electric wire hanging without insulation across open footpath in Teachers Colony, it is grave hazard during rain puddles.",Electricity
Very serious hazard: frequent phase-out condition leaving households with single-phase low voltage along GIDC Road! It is water lifting pumps and fans unable to operate. Immediate action requested.,Electricity
"Along 80 feet road, recently road was laid now fully broken and stones coming out. Kindly resolve.",Roads
publk toilt is verry dirti no watr smeling awful ward 159 since 2 days kindly fix,Public Health
crematrium furnas out of ordr pleas fix imedatly in Kasturba Extension ward 184,Municipal Services
"Extremely hazardous condition: public market dustbins damaged, rusted, with bottom completely missing between Shastri Nagar and Nehru Roundabout! It is garbage dumped inside falls straight onto road surface. Immediate action requested.",Sanitation
It is brought to municipal notice that there is a stagnant green slime water pooled in empty construction basement at Highway Junction. This is acting as massive breeding nursery for vector-borne disease mosquitoes. Kindly take remedial action.,Public Health
Disaster waiting to happen: missing height barrier at low railway bridge underpass opposite overhead water tank! It is tall container trucks regularly getting wedged under bridge. Immediate action requested.,Traffic
"In Green Glen Layout Ward 179, people throwing garbage bags on vacant plot creating mini dumpyard for past one week. Very difficult situation.",Sanitation
Street light burning in afternoon time and turning off at 7 pm night opposite pedestrian subway since yesterday.,Electricity
swpr not cmng to cleen stret wast accumulatd near milk booth NH Bypass Service Road,Sanitation
"At ambedkar chowk, garbage truck leaking dirty black liquid on entire road smelling awful. Kindly resolve.",Sanitation
"Dustbin is totally overflowing dogs spreading trash everywhere on 80 Feet Road, Ward 28, please take action immediately.",Sanitation
"Due to drainage outfall into main canal blocked by collapsed retaining wall along Market Road, it is backwater flooding low-lying residential slums.",Drainage
"Automatic sprinkler system in public park broken and shooting water into street between Defence Enclave and Highway Junction, park lawns drying out while road is needlessly flooded.",Municipal Services
"Sir, traffic signal is not working big traffic jam at junction at Ward 143. Nobody is responding.",Traffic
"Due to concrete median road divider broken and knocked down by collision between Teachers Colony and Shivaji Circle, it is vehicles making dangerous unauthorized U-turns across oncoming lane.",Traffic
watr loging knee dep aftr smal rain no drange outlt near civil hospital gate Bypass Road,Drainage
Critical danger: collapsed retaining edge along road margin between Balaji Layout and Old Post Office Junction! It is risk of road shoulder caving into adjacent ravine. Immediate action requested.,Roads
Underpass is flooded with dirty water cars getting stuck in water close to central vegetable market since yesterday.,Drainage
Civic issue reported: there is a raw sewage overflowing from choked underground sewer manhole at Old Post Office Junction. This is black contaminated fecal water bubbling onto public road. Kindly take remedial action.,Drainage
"Due to urgent vector fogging and anti-larval chemical spraying needed in colony between Netaji Nagar and Indira Circle, it is dengue fever spreading from house to house.",Public Health
"In Ashok Vihar Phase 2 Ward 157, gutters are fully blocked with mud road is flooded with knee deep water every evening. Very difficult situation.",Drainage
"In Postal Layout Ward 27, pothole depth is more than 1 foot any time major accident can happen from last 3 days. Very difficult situation.",Roads
"In Kuvempu Nagar Ward 29, underpass is flooded with dirty water cars getting stuck in water since morning. Very difficult situation.",Drainage
ovrflowin dustbin dogs scatring west on rad in Santosh Nagar ward 53,Sanitation
"Due to foul hydrogen sulfide gas leaking from open municipal drain near hospital on 4th Cross, 2nd Main, it is patients experiencing breathing difficulties in recovery wards.",Public Health
"No zebra crossing for pedestrians impossible to cross this wide road at Ward 57, please take action immediately.",Traffic
"In Vinayaka Nagar Ward 55, power cut since morning no current in our whole colony from last 3 days. Very difficult situation.",Electricity
"Sir, pothole depth is more than 1 foot any time major accident can happen on Station Road. Nobody is responding.",Roads
"Colony borewell motor spoiled please send mechanic urgently on Main Road, please take action immediately.",Water
"Sir, water supply timing is very irregular please give water on fixed schedule outside State Transport Depot. Nobody is responding.",Water
plz help to mny mosquitos dangue spreding plz du fogin on Station Approach Road,Public Health
"Dangerous speed breaker without white zebra stripes riders getting hurt on Church Road, Ward 197, please take action immediately.",Roads
"Immediate intervention needed! vegetable and fish market waste rotting in open open drains and road shoulders between Adarsh Layout and Old Post Office Junction! It is attracting hundreds of stray pigs, crows, and flies. Immediate action requested.",Sanitation
Divider is broken cars taking dangerous u-turn causing accidents since morning at Ward 134. High danger.,Traffic
"to mny mosquitos dangue spreding plz du fogin near bus stop 4th Cross, 2nd Main",Public Health
"Urgent! Major emergency: sanitation worker skipping daily street sweeping on inner residential roads near petrol pump! It is dry leaves, plastic bags, and dust accumulating in thick layers. Immediate action requested.",Sanitation
"On ring road, ward 162, plz repair this road immediately bike riders falling daily. Kindly resolve.",Roads
"Due to drainage pipe cracked and leaking foul sewage water into building foundations along Bypass Road, it is stink and dampness seeping through basement walls.",Drainage
Drinking water line damaged during road work please repair immediately near Telecom Colony main gate since two weeks.,Water
Disaster waiting to happen: illegal auto-rickshaw and taxi parking encroaching two lanes of major junction on Cross Road 4! It is choking peak-hour traffic flow to a crawl. Immediate action requested.,Traffic
"Park swings are broken iron slide has sharp cut children getting hurt between Teachers Colony and Old Post Office Junction, please take action immediately.",Municipal Services
"Due to boundary wall of municipal cemetery collapsed allowing stray animals inside on Market Road, Ward 164, it is desecration of graves and lack of basic civic dignity.",Municipal Services
urgent guter overflowin ful stenk in residental aera Kasturba Extension near district library,Drainage
Spilled garbage not cleared after mechanical dumper truck emptied bin near bus stop.,Sanitation
"Sir, electric wire is hanging very low anyone can get current shock close to electricity sub-station. Nobody is responding.",Electricity
Stray dogs are biting people on street please catch them urgently since two weeks near church square. High danger.,Public Health
"No dustbin provided in our market area people throwing waste on street on Market Road, Ward 104 since yesterday.",Sanitation
ovrflowin dustbin dogs scatring west on rad near service road turn Ring Road,Sanitation
"Please help, tree branches heavily tangled with bare 11kV electrical conductors behind State Transport Depot, frequent sparks and localized power tripping during breeze. Please send team as soon as possible.",Electricity
"Unauthorized medical dispensary discarding used syringes and blood tubes into open lot between Balaji Layout and Station T-Junction, grave danger of Hepatitis and HIV contamination.",Public Health
Fish market waste thrown on road intolerable rotten stench every evening near police station. High danger.,Sanitation
"Sir, public toilet is filthy and overflowing nobody cleaning it since weeks near industrial estate gate. Nobody is responding.",Public Health
"Sweeper is sweeping dust into open drain instead of lifting it on 80 Feet Road, please take action immediately.",Sanitation
"No action taken so far, monsoon drain blocked causing rainwater to flood into ground floor homes right in front of Taluk Office, furniture, groceries, and household goods submerged in sewage water. Please send team as soon as possible.",Drainage
"Fish market waste thrown on road intolerable rotten stench between Netaji Nagar and Nehru Roundabout, please take action immediately.",Sanitation
"No action taken so far, stagnant green slime water pooled in empty construction basement at Indira Circle, acting as massive breeding nursery for vector-borne disease mosquitoes. Please send team as soon as possible.",Public Health
"Terrible smell from open drain and stagnant water causing vomiting opposite temple road, please take action immediately.",Public Health
Power cut since morning no current in our whole colony from last 3 days at Ward 190. High danger.,Electricity
plasic west burnig smuk entring insid house in Bhavani Nagar ward 101,Sanitation
"In Kasturba Extension Ward 93, power cut since morning no current in our whole colony since past 10 days. Very difficult situation.",Electricity
"Near siddhartha nagar main gate, crematorium furnace not working people waiting with dead body in grief. Kindly resolve.",Municipal Services
plz help childrn playgroud swing brokn shrap iron cuting kids on Temple Street,Municipal Services
"Sir, shock is coming from street light pole when touching it very scary outside Muncipal Community Hall. Nobody is responding.",Electricity
Sweeper is sweeping dust into open drain instead of lifting it from last 3 days behind District Veterinary Hospital. High danger.,Sanitation
"Between balaji layout and gandhi circle, people throwing garbage bags on vacant plot creating mini dumpyard. Kindly resolve.",Sanitation
"Dangerous speed breaker without white zebra stripes riders getting hurt at the entry of Surya Nagar Ward 12, please take action immediately.",Roads
"In Telecom Colony Ward 37, drain silt was cleaned and left on road now all gone back in drain since two weeks. Very difficult situation.",Drainage
"In Adarsh Layout Ward 100, too many mosquitoes in our area dengue cases increasing please fog after last rain. Very difficult situation.",Public Health
"Sir, pothole depth is more than 1 foot any time major accident can happen close to rotary circle. Nobody is responding.",Roads
It is brought to municipal notice that there is a tar washed away completely after recent downpour in Sri Krishna Layout. This is creating hazardous slippery mud slush. Kindly take remedial action.,Roads
"Dear authority, municipal borewell pump motor burned out and not replaced at Station T-Junction, colony community tap dry for over a week. Please send team as soon as possible.",Water
"Disaster waiting to happen: continuous acute voltage fluctuations from 140V to 290V on Bypass Road, Ward 141! It is household refrigerators, TVs and motors getting damaged. Immediate action requested.",Electricity
"Respected sir, traffic blinker beacon at blind intersection not operating on Temple Street, Ward 77, frequent T-bone vehicle collisions occurring at night. Please send team as soon as possible.",Traffic
"Park walking track is broken senior citizens falling down daily on Station Approach Road, Ward 88, please take action immediately.",Municipal Services
stagnnt wter breedng mosquitos chkungunya risk ward 101 since 2 days kindly fix,Public Health
Underground electrical power cable fault plunging entire block into darkness at Ward 149.,Electricity
Big dry tree branch can fall on our house roof please cut it urgently for past one week outside Sub-Registrar Office. High danger.,Municipal Services
"Street light is not working in our lane full dark at night in Siddhartha Nagar, please take action immediately.",Electricity
Manhole cover is missing open hole on road very dangerous in night behind Govt Girls Hostel every evening.,Drainage
Urgent! Major emergency: sanitation collection vehicle demanding cash bribes to lift segregated waste near toll plaza! It is refusing collection if unpaid. Immediate action requested.,Sanitation
Electric pole is bent dangerously can fall any time please remove since two weeks opposite bus stop. High danger.,Electricity
swpr not cmng to cleen stret wast accumulatd in Indira Gandhi Colony ward 110,Sanitation
pipelin brok clean watr wasting on road fix fast ward 173 since 2 days kindly fix,Water
"Sir please look into this, open storm gutter without covering slab running in front of primary school near industrial estate gate, students at constant risk of slipping into deep muddy drain. Please send team as soon as possible.",Drainage
"Substandard patch work washed away leaving larger holes right in front of State Transport Depot, road condition worse than before repair.",Roads
urgent publk toilt is verry dirti no watr smeling awful Siddhartha Nagar near metro pillar 142,Public Health
"Due to garbage sweepers burning piles of dry leaves and plastic trash in public park on Ring Road, Ward 14, it is toxic thick smoke suffocating morning walkers and asthma patients.",Sanitation
"Due to fuse repeatedly blowing out on distribution transformer every evening close to bus stop, it is load capacity insufficient for local consumer demand.",Electricity
"Near ashok vihar phase 2 main gate, sweeper is sweeping dust into open drain instead of lifting it. Kindly resolve.",Sanitation
"At ward 103, sweeper is sweeping dust into open drain instead of lifting it. Kindly resolve.",Sanitation
"Outside urban health post, drainage smell is terrible in our lane please clean the gutter. Kindly resolve.",Drainage
Pothole depth is more than 1 foot any time major accident can happen since yesterday behind Taluk Office. High danger.,Roads
Collapsed retaining edge along road margin opposite pedestrian subway.,Roads
"In Green Glen Layout Ward 128, street light burning in afternoon time and turning off at 7 PM night for past one week. Very difficult situation.",Electricity
"Public park security gate missing and boundary iron railings stolen on Market Road, anti-social elements drinking alcohol inside children park at night.",Municipal Services
"Dear authority, municipal nursery security fencing torn allowing illegal encroachment at Ward 121, valuable plant saplings and trees destroyed by cattle. Please send team as soon as possible.",Municipal Services
Very serious hazard: shade gazebo roof in municipal rose garden collapsed under rain weight at the entry of Balaji Layout! It is broken wooden beams hanging hazardously over seating area. Immediate action requested.,Municipal Services
Voltage is very low fan is not running fridge making weird sound since past 10 days at Ashok Pillar Crossing. High danger.,Electricity
ward ofis offical not comming for publik complant ward 137 since 2 days kindly fix,Municipal Services
"In Surya Nagar Ward 12 Ward 183, electric wire is hanging very low anyone can get current shock from last 3 days. Very difficult situation.",Electricity
"Garbage is not being lifted since one week huge smell coming since morning on College Road, Ward 68. High danger.",Sanitation
"Near weekly bazaar ground, open gym machines in garden are rusted and jammed not moving at all. Kindly resolve.",Municipal Services
"Traffic police needed at circle during school hours heavy jam outside Co-operative Bank, please take action immediately.",Traffic
"Between adarsh layout and university cross, rabid aggressive dog roaming in market area bit two children today. Kindly resolve.",Public Health
Sweeper is sweeping dust into open drain instead of lifting it at Ward 34 for past one week.,Sanitation
Drinking water line damaged during road work please repair immediately at the entry of Netaji Nagar since past 10 days.,Water
Divider is broken cars taking dangerous u-turn causing accidents from last 3 days at Ward 122. High danger.,Traffic
"Sir, someone burning plastic garbage in night time suffocating smoke on College Road. Nobody is responding.",Sanitation
"In Siddhartha Nagar Ward 31, underpass is flooded with dirty water cars getting stuck in water every evening. Very difficult situation.",Drainage
"In Balaji Layout Ward 134, drinking water line damaged during road work please repair immediately after last rain. Very difficult situation.",Water
"Drinking water line damaged during road work please repair immediately in Vidya Nagar, please take action immediately.",Water
"Please help, sewer line burst underground saturating road pavement with foul water between Telecom Colony and Shivaji Circle, macadam road sinking and bubbling with sewage effluent. Please send team as soon as possible.",Drainage
"Respected sir, dead cow lying near the highway bridge approach unattended near Vidya Nagar main gate, maggots infesting carcass and causing public disgust. Please send team as soon as possible.",Sanitation
Huge dried-up eucalyptus tree leaning precariously over residential house along Ring Road.,Municipal Services
"At old post office junction, plz repair this road immediately bike riders falling daily. Kindly resolve.",Roads
"Sir, stray dogs are biting people on street please catch them urgently outside Taluk Office. Nobody is responding.",Public Health
urgent swpr not cmng to cleen stret wast accumulatd Shastri Nagar near petrol pump,Sanitation
plasic west burnig smuk entring insid house in Postal Layout ward 62,Sanitation
"Public park security gate missing and boundary iron railings stolen on 4th Cross, 2nd Main, anti-social elements drinking alcohol inside children park at night.",Municipal Services
"Due to substandard patch work washed away leaving larger holes outside Ration Shop, it is road condition worse than before repair.",Roads
"Dustbin is totally overflowing dogs spreading trash everywhere right in front of Civil Court, please take action immediately.",Sanitation
"Near ramakrishna puram main gate, open gym machines in garden are rusted and jammed not moving at all. Kindly resolve.",Municipal Services
"In Vidya Nagar Ward 51, our ward getting only 20 mins water while other areas getting 2 hours after last rain. Very difficult situation.",Water
"plz help deep pthle after rain two wheeler skiding daily on 4th Cross, 2nd Main",Roads
Road signage obscured by overgrown roadside tree branches at major intersection,Traffic
Dustbin is totally overflowing dogs spreading trash everywhere close to bridge underpass since two weeks.,Sanitation
powrcut since 12 hrs no electrsity in ward near milk booth Link Road,Electricity
"trnsfrmer spakring big blast noiz plz snd elctrician near toll plaza 4th Cross, 2nd Main",Electricity
"On market road, ward 99, chemical smoke and bad smell coming from factory at night cannot breathe. Kindly resolve.",Public Health
Serious public grievance: there is a traffic signal lens covers broken with red and green lights showing together on 6th Cross Avenue. This is extreme confusion at major intersection. Kindly take remedial action.,Traffic
"Anti-larval spray not done in our ward malaria spreading fast right in front of Fish Market Yard, please take action immediately.",Public Health
Shock is coming from street light pole when touching it very scary between Indira Gandhi Colony and Station T-Junction every evening.,Electricity
"Sir, crematorium furnace not working people waiting with dead body in grief opposite government high school. Nobody is responding.",Municipal Services
"Respected sir, municipal borewell pump motor burned out and not replaced on Ring Road, colony community tap dry for over a week. Please send team as soon as possible.",Water
"Massive pothole filled with stagnant rainwater on Church Road, causing two-wheelers to slip and fall.",Roads
stagnnt wter breedng mosquitos chkungunya risk near SBI ATM Bypass Road,Public Health
Electric pole is bent dangerously can fall any time please remove after last rain close to auto rickshaw stand. High danger.,Electricity
publk toilt is verry dirti no watr smeling awful near petrol pump 6th Cross Avenue,Public Health
plz help watr loging knee dep aftr smal rain no drange outlt on Service Lane,Drainage
"Streetlight timer broken causing lights to stay on in afternoon and off at night near Adarsh Layout main gate, energy wasted by day while road is dark at night.",Electricity
No dustbin provided in our market area people throwing waste on street since past 10 days near Santosh Nagar main gate. High danger.,Sanitation
plz help rad suface totly brokn vehicle geting damag on Cross Road 4,Roads
"Sir, main water pipe is broken drinking water running on road wastefully close to overhead water tank. Nobody is responding.",Water
Critical danger: pest and rat infestation multiplying rapidly around abandoned grain godown in Defence Enclave! It is rodents entering nearby homes and gnawing electric wires. Immediate action requested.,Public Health
"At ward 3, dirty open drain next to school children getting sick frequently. Kindly resolve.",Public Health
People throwing garbage bags on vacant plot creating mini dumpyard for past one week close to crematorium ground. High danger.,Sanitation
Open slaughter of animals in street blood running on road very unhygienic since past 10 days on 6th Cross Avenue. High danger.,Public Health
"Shock is coming from street light pole when touching it very scary at Shivaji Circle, please take action immediately.",Electricity
"Sir, phase missing in our house only half lights working please fix fuse behind Urban Health Post. Nobody is responding.",Electricity
"In Gandhi Gram Ward 119, no water coming in taps since last 4 days kindly supply tanker from last 3 days. Very difficult situation.",Water
"Respected sir, electric pole severely leaning at 45 degrees toward residential house on Cross Road 4, Ward 152, heavy concrete pole may collapse during windstorm. Please send team as soon as possible.",Electricity
Citizens facing acute problem because there is a hospital medical waste incinerator emitting thick black soot without filter close to toll plaza. This is toxic dioxin fumes settling on surrounding residential rooftops. Kindly take remedial action.,Public Health
"Illegal sale of stale, artificially colored food items outside school gate at Clock Tower Square.",Public Health
"Drinking water contaminated with sewage smell and black particles on Cross Road 4, Ward 126, several residents suffering from stomach infections.",Water
"Sir, underpass is flooded with dirty water cars getting stuck in water close to civil hospital gate. Nobody is responding.",Drainage
Critical danger: road caved in creating a 3-foot deep sinkhole close to toll plaza! It is half the carriage width blocked dangerously. Immediate action requested.,Roads
